电影名称,评价分数,评论人数,导演,主演,上映时间,出品地,剧情类别,电影标题图链接
三傻大闹宝莱坞,9.2,2006810,拉库马·希拉尼 Rajkumar Hirani,阿米尔·汗 Aamir Khan / 卡...,2009,印度,剧情 喜剧 爱情 歌舞,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg
疯狂动物城,9.2,2156213,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,金妮弗·...,2016,美国,喜剧 动画 冒险,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2323981221.jpg
放牛班的春天,9.3,1423889,克里斯托夫·巴拉蒂 Christophe Barratier,让-巴蒂斯特·莫尼...,2004,法国 瑞士 德国,剧情 音乐,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2884280708.jpg
机器人总动员,9.3,1431201,安德鲁·斯坦顿 Andrew Stanton,本·贝尔特 Ben Burtt / 艾丽...,2008,美国,科幻 动画 冒险,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg
无间道,9.3,1502027,刘伟强 / 麦兆辉,刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...,2002,中国香港,剧情 犯罪 惊悚,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg
控方证人,9.6,665290,比利·怀尔德 Billy Wilder,泰隆·鲍华 Tyrone Power / 玛琳·...,1957,美国,剧情 犯罪 悬疑 惊悚,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2911817201.jpg
大话西游之大圣娶亲,9.2,1653820,刘镇伟 Jeffrey Lau,周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg
熔炉,9.3,1005080,黄东赫 Dong-hyuk Hwang,孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,2011,韩国,剧情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg
触不可及,9.3,1240222,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...,,2011,法国,剧情 喜剧,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg
教父,9.3,1060958,弗朗西斯·福特·科波拉 Francis Ford Coppola,马龙·白兰度 M...,1972,美国,剧情 犯罪,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg
寻梦环游记,9.1,1880301,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,...,2017,美国,喜剧 动画 奇幻 音乐,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2505426431.jpg
当幸福来敲门,9.1,1635736,加布里尔·穆奇诺 Gabriele Muccino,威尔·史密斯 Will Smith ...,2006,美国,剧情 传记 家庭,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1312700628.jpg
